Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
FRESHBUS,Electric A/C Seater (2+2),22:40,05:45,07h 05m,449,12 Seats available,"4.7
545",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),22:55,05:55,07h 00m,449,18 Seats available,"4.6
427",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),23:35,06:30,06h 55m,449,11 Seats available,"4.6
422",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
AdSai RK Travels,Non A/C Seater / Sleeper (2+1),21:50,04:35,06h 45m,INR 560,12 Seats available,"4.1
68",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
RAMK HOLIDAYS (GMRK TOURS AND TRAVELS),Volvo A/C Semi Sleeper (2+2),22:30,05:25,06h 55m,INR 499,14 Seats available,"4.5
383",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),21:40,05:05,07h 25m,449,11 Seats available,"4.6
506",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Zingbus Plus,A/C Seater / Sleeper (2+1),22:15,05:30,07h 15m,501,17 Seats available,"4.4
158",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
AdYolo Bus,A/C Seater / Sleeper (2+1),22:15,05:24,07h 09m,INR 480,9 Seats available,"4.2
335",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Sri Durga Malleswari Travels,A/C Sleeper (2+1),21:45,04:35,06h 50m,675,11 Seats available,"4.4
146",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Zingbus Plus,A/C Seater / Sleeper (2+1),22:50,06:05,07h 15m,501,20 Seats available,"4.2
560",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
TGSRTC - 1935,Super Luxury (Non AC Seater 2+2 Push Back),19:55,05:05,09h 10m,INR 464,13 Seats available,"2.7
9",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
TGSRTC - 1642,Super Luxury (Non AC Seater 2+2 Push Back),20:00,04:40,08h 40m,INR 424,3 Seats available,"3.7
46",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
TGSRTC - 2469,Super Luxury (Non AC Seater 2+2 Push Back),20:00,04:25,08h 25m,INR 464,17 Seats available,"3.8
23",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
TGSRTC - 7750,Super Luxury (Non AC Seater 2+2 Push Back),20:00,04:40,08h 40m,INR 464,11 Seats available,"4.1
8",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
TGSRTC - 1960,Super Luxury (Non AC Seater 2+2 Push Back),20:10,04:00,07h 50m,INR 464,1 Seat available,"3.8
15",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),22:00,04:53,06h 53m,INR 680,13 Seats available,"4.5
51",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Yolo Bus,Bharat Benz A/C Sleeper (2+1),22:20,05:13,06h 53m,INR 790,12 Seats available,"4.5
41",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Kamakshi Tours And Travels,Non A/C Seater / Sleeper (2+1),20:45,06:00,09h 15m,INR 500,2 Seats available,"4.3
309",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Sri Lakshmi Narasimha Travels (SLNT),Non A/C Seater / Sleeper (2+1),20:15,04:30,08h 15m,INR 449,19 Seats available,"4.6
18",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Vihari Travels,NON AC Seater / Sleeper 2+1,22:00,05:30,07h 30m,332,5 Seats available,New,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
APSRTC - 9041,Express(Non AC Seater),21:00,01:25,04h 25m,INR 186,29 Seats available,"3.9
32",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 9061,Express(Non AC Seater),21:45,01:10,03h 25m,INR 170,31 Seats available,"3.8
44",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 5524,Express(Non AC Seater),22:45,02:55,04h 10m,INR 186,39 Seats available,"3.9
41",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 5528,,23:59,05:15,05h 16m,INR 304,30 Seats available,4.3,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
,,,,,,,,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
,,,,,,,,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
,,,,,,,,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
,,,,,,,,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
,,,,,,,,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 3104,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,02:15,05h 15m,INR 281,29 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 3189,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",21:20,01:15,03h 55m,INR 269,35 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 4870,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,02:00,04h 15m,INR 281,18 Seats available,3.8,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
,,,,,,,,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
,,,,,,,,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
,,,,,,,,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
