Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Assam State Transport Corporation (ASTC) - 149849,Volvo AC Seater 2+2,06:30,10:45,04h 15m,INR 298,20 Seats available,"3.8
62",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 155999,Bharat Benz A/C Seater (2+2),07:15,10:50,03h 35m,INR 298,10 Seats available,"4.2
126",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 154910,Bharat Benz A/C Seater (2+2),10:30,15:00,04h 30m,INR 298,14 Seats available,"3.8
334",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 157880,A/C Seater (2+1),13:45,18:30,04h 45m,INR 298,26 Seats available,3.9,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Aziba Travels,NON A/C Seater (2+1),05:45,10:40,04h 55m,347,22 Seats available,"4.5
19",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,06:15,10:45,04h 30m,INR 397.08,32 Seats available,"4.4
375",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
SHIVAM TRAVELS,Bharat Benz A/C Seater (2+1),06:45,11:10,04h 25m,INR 330,34 Seats available,"4.1
142",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,A/C Seater Push Back (2+2),07:00,11:00,04h 00m,INR 397.08,18 Seats available,"4.5
119",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Yatra Travels,NON A/C Seater (2+1),07:00,12:00,05h 00m,495,6 Seats available,"3.9
5",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,07:30,11:30,04h 00m,INR 397.08,24 Seats available,"4.7
379",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),Non AC Seater (2+1),07:45,13:10,05h 25m,405,20 Seats available,"3.5
10",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),08:30,13:30,05h 00m,405,18 Seats available,"3.9
8",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Kanchan Travels,AC Seater (2+2),10:45,16:00,05h 15m,357,27 Seats available,"4.3
46",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Kalpana Travels,AC Seater (2+2),16:50,20:15,03h 25m,351,29 Seats available,"4.7
107",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 149849,Volvo AC Seater 2+2,06:30,09:00,02h 30m,INR 191,20 Seats available,"3.9
16",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Assam State Transport Corporation (ASTC) - 154910,Bharat Benz A/C Seater (2+2),10:30,13:00,02h 30m,INR 191,22 Seats available,"4.2
155",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,06:15,09:15,03h 00m,INR 283.63,32 Seats available,"4.5
87",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
NETWORK TRAVELS,NON A/C Seater (2+2),06:30,10:00,03h 30m,INR 350,40 Seats available,3.8,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
,,,,,,,,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
,,,,,,,,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
,,,,,,,,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Assam State Transport Corporation (ASTC) - 166131,Bharat Benz A/C Seater (2+2),07:20,13:30,06h 10m,INR 281,6 Seats available,"4.2
109",https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Jorhat to Tinsukia
Assam State Transport Corporation (ASTC) - 154034,A/C Seater (2+1),09:15,15:00,05h 45m,INR 285,25 Seats available,"4.5
11",https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Jorhat to Tinsukia
NETWORK TRAVELS,Non A/C Seater / Sleeper (2+1),00:30,05:30,05h 00m,500,23 Seats available,"4.2
11",https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Jorhat to Tinsukia
Purple Wings Coaches,A/C Seater / Sleeper (2+1),01:15,05:05,03h 50m,602,17 Seats available,"3.5
9",https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Jorhat to Tinsukia
,,,,,,,,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Jorhat to Tinsukia
,,,,,,,,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Jorhat to Tinsukia
,,,,,,,,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Jorhat to Tinsukia
Assam State Transport Corporation (ASTC) - 154054,A/C Seater (2+1),08:25,13:30,05h 05m,INR 285,27 Seats available,"3.7
13",https://www.redbus.in/bus-tickets/tinsukia-to-jorhat,Tinsukia to Jorhat
Assam State Transport Corporation (ASTC) - 166134,Bharat Benz A/C Seater (2+2),09:00,15:30,06h 30m,INR 281,28 Seats available,"3.4
35",https://www.redbus.in/bus-tickets/tinsukia-to-jorhat,Tinsukia to Jorhat
