Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
RSRTC - 191942,Express Non AC Seater 2+3,00:30,04:30,04h 00m,INR 215,42 Seats available,3.6,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur
RSRTC - 193351,Express Non AC Seater 2+3,04:45,08:30,03h 45m,INR 215,42 Seats available,3.6,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur
RSRTC - 186833,Express Non AC Seater 2+3,06:15,10:15,04h 00m,INR 215,42 Seats available,3.6,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur
RSRTC - 186837,Express Non AC Seater 2+3,07:15,11:15,04h 00m,INR 215,42 Seats available,3.6,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur
RSRTC - 174493,Express Non AC Seater 2+3,08:00,12:30,04h 30m,INR 215,42 Seats available,3.6,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur
RSRTC - 180622,Express Non AC Seater 2+3,08:15,12:30,04h 15m,INR 215,42 Seats available,3.6,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur
RSRTC - 180633,Express Non AC Seater 2+3,08:45,12:40,03h 55m,INR 215,42 Seats available,3.6,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur
RSRTC - 174491,Express Non AC Seater 2+3,09:15,14:00,04h 45m,INR 215,42 Seats available,3.6,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur
RSRTC - 186835,Express Non AC Seater 2+3,09:45,13:45,04h 00m,INR 215,42 Seats available,3.6,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur
RSRTC - 180643,Express Non AC Seater 2+3,10:45,15:00,04h 15m,INR 215,42 Seats available,3.6,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur
Rathore Traveller,NON AC Seater / Sleeper 2+1,03:00,06:00,03h 00m,INR 500,33 Seats available,4.4,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur
Bluecity Bus,A/C Sleeper (2+1),04:05,07:30,03h 25m,INR 700,30 Seats available,4.3,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur
Shree Devnarayan Travels,A/C Sleeper (2+1),04:15,07:45,03h 30m,INR 650,28 Seats available,4.3,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur
Gajraj Travels,A/C Sleeper (2+1),04:15,07:20,03h 05m,INR 700,6 Seats available,4.5,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur
Shree balaji tour and travels,A/C Seater/Sleeper (2+1),04:20,08:00,03h 40m,INR 599,28 Seats available,3.0,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur
