Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
KSRTC (Kerala) - 1583,Swift Deluxe Non AC Air Bus (2+2),20:00,05:15,09h 15m,INR 832,13 Seats available,"3.5
25",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 234,Swift Deluxe Non AC Air Bus (2+2),21:00,06:40,09h 40m,INR 801,11 Seats available,"3.7
53",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 1584,Swift Deluxe Non AC Air Bus (2+2),21:30,06:15,08h 45m,INR 832,15 Seats available,"3.5
35",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 50,Swift Deluxe Non AC Air Bus (2+2),22:00,07:10,09h 10m,INR 832,15 Seats available,"3.9
71",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
MMK Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,INR 700,14 Seats available,"4.4
555",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
National travels and logistics,A/C Sleeper (2+1),21:00,06:15,09h 15m,690,16 Seats available,"4.3
89",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
Silver Line Travels,Non A/C Seater / Sleeper (2+1),20:00,05:10,09h 10m,665,16 Seats available,"4.3
4",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
SAAM BUS,VE A/C Sleeper (2+1),20:30,06:15,09h 45m,INR 750,11 Seats available,"4.3
247",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
MMK Travels,A/C Sleeper (2+1),21:00,05:30,08h 30m,INR 850,8 Seats available,"4.6
67",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
SKS Tours & Travels,A/C Sleeper (2+1),21:00,06:00,09h 00m,INR 899,15 Seats available,"4.4
91",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
P K Travels,A/C Sleeper (2+1),20:00,06:00,10h 00m,INR 900,15 Seats available,"4.2
214",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
SAAM BUS,A/C Seater / Sleeper (2+1),21:15,06:15,09h 00m,630,8 Seats available,"4.7
11",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
NS Transports,Non A/C Seater / Sleeper (2+1),20:30,06:30,10h 00m,INR 649,5 Seats available,"3.9
213",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
NS Transports,Non A/C Seater / Sleeper (2+1),19:30,04:30,09h 00m,699,1 Seat available,"3.8
91",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 2393,Low Floor AC Seater 2+2,20:30,01:44,05h 14m,INR 383,8 Seats available,"3.9
9",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 3090,Super Express Non AC Seater Air Bus (2+2),20:55,00:55,04h 00m,INR 309,4 Seats available,3.1,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 827,Super Fast Non AC Seater (2+3),21:00,02:35,05h 35m,INR 269,34 Seats available,"3.9
9",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 531,Super Express Non AC Seater Air Bus (2+2),21:15,01:10,03h 55m,INR 309,15 Seats available,"2.7
8",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 2454,Low Floor AC Seater 2+2,21:40,03:00,05h 20m,INR 383,25 Seats available,"4.4
4",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 582,Super Express Non AC Seater Air Bus (2+2),22:40,03:40,05h 00m,INR 288,15 Seats available,"3.7
5",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 1704,Super Fast Non AC Seater (2+3),22:40,03:50,05h 10m,INR 255,9 Seats available,"2.9
4",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 279,Super Fast Non AC Seater (2+3),23:05,04:40,05h 35m,INR 269,30 Seats available,"3.1
33",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
