Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),21:00,05:20,08h 20m,INR 997,41 Seats available,"3.0
4",https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),22:20,05:20,07h 00m,INR 873,41 Seats available,"2.6
5",https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana
PEPSU (Punjab) - 67064,Volvo AC Seater (2+2),23:58,07:58,08h 00m,INR 997,41 Seats available,"4.4
9",https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),21:00,05:20,08h 20m,INR 997,41 Seats available,"3.0
4",https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana,Delhi Airport to Ludhiana
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),22:20,05:20,07h 00m,INR 873,41 Seats available,"2.6
5",https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana,Delhi Airport to Ludhiana
PEPSU (Punjab) - 67064,Volvo AC Seater (2+2),23:58,07:58,08h 00m,INR 997,41 Seats available,"4.4
9",https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana,Delhi Airport to Ludhiana
RSRTC - 156675,Express Non AC Seater 2+3,22:30,05:15,06h 45m,INR 436,40 Seats available,"1.7
9",https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana,Delhi Airport to Ludhiana
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana,Delhi Airport to Ludhiana
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana,Delhi Airport to Ludhiana
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana,Delhi Airport to Ludhiana
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana,Delhi Airport to Ludhiana
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),21:00,06:50,09h 50m,INR 1169,41 Seats available,3.7,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar,Delhi Airport to Jalandhar
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),22:20,06:50,08h 30m,INR 1045,41 Seats available,"2.4
4",https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar,Delhi Airport to Jalandhar
PEPSU (Punjab) - 67064,Volvo AC Seater (2+2),23:58,08:58,09h 00m,INR 1169,41 Seats available,"1.8
4",https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar,Delhi Airport to Jalandhar
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:20,05:55,07h 35m,INR 430,16 Seats available,"4.8
547",https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar,Delhi Airport to Jalandhar
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar,Delhi Airport to Jalandhar
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar,Delhi Airport to Jalandhar
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar,Delhi Airport to Jalandhar
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar,Delhi Airport to Jalandhar
