Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
TGSRTC - 4172,Rajdhani (AC Semi Sleeper 2+2),18:45,22:45,04h 00m,INR 350,18 Seats available,"3.6
46",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 64022,Rajdhani (AC Semi Sleeper 2+2),19:00,22:30,03h 30m,INR 350,27 Seats available,"3.1
19",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8677,Super Luxury (Non AC Seater 2+2 Push Back),19:30,23:40,04h 10m,INR 320,31 Seats available,"3.2
27",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8618,Super Luxury (Non AC Seater 2+2 Push Back),18:40,23:00,04h 20m,INR 320,26 Seats available,"4.4
20",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TGSRTC - 64021,Rajdhani (AC Semi Sleeper 2+2),19:30,23:00,03h 30m,INR 350,32 Seats available,"4.4
56",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TGSRTC - 7645,Super Luxury (Non AC Seater 2+2 Push Back),19:30,01:45,06h 15m,INR 320,16 Seats available,"2.5
15",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TGSRTC - 7061,e-SUP LUXURY (2+2),18:50,21:50,03h 00m,INR 283,31 Seats available,"2.4
12",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TGSRTC - 7290,LAHARI A/C SLEEPER CUM SEATER,19:00,21:40,02h 40m,INR 343,11 Seats available,"4.1
18",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TGSRTC - 7336,Super Luxury (Non AC Seater 2+2 Push Back),19:15,22:15,03h 00m,INR 283,31 Seats available,"3.4
19",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TGSRTC - 7063,,19:30,22:30,03h 00m,INR 283,37 Seats available,3.8,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TGSRTC - 8180,Super Luxury (Non AC Seater 2+2 Push Back),20:00,01:20,05h 20m,INR 429,21 Seats available,"3.2
15",https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial
TGSRTC - 8032,Super Luxury (Non AC Seater 2+2 Push Back),20:30,02:40,06h 10m,INR 429,26 Seats available,"4.5
16",https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial
TGSRTC - 8042,Super Luxury (Non AC Seater 2+2 Push Back),21:20,03:35,06h 15m,INR 429,27 Seats available,"3.8
19",https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial
TGSRTC - 6631,Super Luxury (Non AC Seater 2+2 Push Back),20:30,03:30,07h 00m,INR 470,24 Seats available,3.7,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
TGSRTC - 8754,Super Luxury (Non AC Seater 2+2 Push Back),20:50,03:10,06h 20m,INR 451,30 Seats available,"4.4
8",https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
TGSRTC - 8925,Super Luxury (Non AC Seater 2+2 Push Back),21:30,04:30,07h 00m,INR 497,27 Seats available,"4.5
10",https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
APSRTC - 4249,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:45,04:20,08h 35m,INR 451,20 Seats available,"3.6
49",https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
APSRTC - 4179,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),20:30,04:29,07h 59m,INR 767,20 Seats available,"4.4
67",https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
