Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
FRESHBUS,Electric A/C Seater (2+2),22:40,05:45,07h 05m,449.0,12 Seats available,4.7,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),22:55,05:55,07h 00m,449.0,18 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),23:35,06:30,06h 55m,449.0,11 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
AdSai RK Travels,Non A/C Seater / Sleeper (2+1),21:50,04:35,06h 45m,560.0,12 Seats available,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
RAMK HOLIDAYS (GMRK TOURS AND TRAVELS),Volvo A/C Semi Sleeper (2+2),22:30,05:25,06h 55m,499.0,14 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),21:40,05:05,07h 25m,449.0,11 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Zingbus Plus,A/C Seater / Sleeper (2+1),22:15,05:30,07h 15m,501.0,17 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
AdYolo Bus,A/C Seater / Sleeper (2+1),22:15,05:24,07h 09m,480.0,9 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Sri Durga Malleswari Travels,A/C Sleeper (2+1),21:45,04:35,06h 50m,675.0,11 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Zingbus Plus,A/C Seater / Sleeper (2+1),22:50,06:05,07h 15m,501.0,20 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
TGSRTC - 1935,Super Luxury (Non AC Seater 2+2 Push Back),19:55,05:05,09h 10m,464.0,13 Seats available,2.7,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
TGSRTC - 1642,Super Luxury (Non AC Seater 2+2 Push Back),20:00,04:40,08h 40m,424.0,3 Seats available,3.7,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
TGSRTC - 2469,Super Luxury (Non AC Seater 2+2 Push Back),20:00,04:25,08h 25m,464.0,17 Seats available,3.8,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
TGSRTC - 7750,Super Luxury (Non AC Seater 2+2 Push Back),20:00,04:40,08h 40m,464.0,11 Seats available,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
TGSRTC - 1960,Super Luxury (Non AC Seater 2+2 Push Back),20:10,04:00,07h 50m,464.0,1 Seat available,3.8,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),22:00,04:53,06h 53m,680.0,13 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Yolo Bus,Bharat Benz A/C Sleeper (2+1),22:20,05:13,06h 53m,790.0,12 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Kamakshi Tours And Travels,Non A/C Seater / Sleeper (2+1),20:45,06:00,09h 15m,500.0,2 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Sri Lakshmi Narasimha Travels (SLNT),Non A/C Seater / Sleeper (2+1),20:15,04:30,08h 15m,449.0,19 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Vihari Travels,NON AC Seater / Sleeper 2+1,22:00,05:30,07h 30m,332.0,5 Seats available,0.0,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
APSRTC - 9041,Express(Non AC Seater),21:00,01:25,04h 25m,186.0,29 Seats available,3.9,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 9061,Express(Non AC Seater),21:45,01:10,03h 25m,170.0,31 Seats available,3.8,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 5524,Express(Non AC Seater),22:45,02:55,04h 10m,186.0,39 Seats available,3.9,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
APSRTC - 5528,0,23:59,05:15,05h 16m,304.0,30 Seats available,4.3,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore
